# die	292.62	292.62
# bins	64
# instances	18510	1499
all	15	0.038,0.089,0.522,0.394,0.331,0.178,0.191,0.293,0.382,0.445,0.407,0.407,0.229,0.254,0.344,0.305,0.242,0.293,0.318,0.433,0.382,0.369,0.293,0.394,0.484,0.598,0.484,0.623,0.344,0.725,0.751,0.433,0.254,0.471,0.394,0.903,0.407,0.356,0.560,0.293,0.522,0.165,0.598,0.560,0.394,0.267,0.267,0.420,0.445,0.344,0.102,0.433,0.267,0.331,0.229,0.433,0.407,0.713,0.356,0.369,0.267,0.318,0.369,0.318
ff	15	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.242,0.242,0.242,0.242,0.000,0.242,0.216,0.000,0.000,0.000,0.242,0.242,0.000,0.000,0.000,0.242,0.000,0.242,0.433,0.000,0.000,0.000,0.216,0.216,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484,0.242,0.242,0.000,0.000,0.000,0.242
all	16	0.051,0.242,0.471,0.611,0.560,0.522,0.534,0.471,0.484,0.458,0.534,0.445,0.496,0.509,0.382,0.573,0.369,0.509,0.433,0.458,0.433,0.407,0.560,0.674,0.738,0.878,0.509,0.573,0.713,0.687,0.725,0.942,0.382,0.827,0.611,0.407,0.407,0.573,0.369,0.484,0.700,0.662,0.573,0.356,0.369,0.674,0.433,0.433,0.713,0.725,0.369,0.394,0.585,0.458,0.331,0.547,0.534,0.509,0.674,0.331,0.700,0.509,0.509,0.267
ff	16	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.242,0.000,0.242,0.000,0.216,0.242,0.484,0.216,0.216,0.000,0.242,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.242,0.216,0.000,0.242,0.216,0.216,0.433,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.242,0.242,0.484,0.000,0.458,0.216
all	17	0.038,0.191,0.407,0.356,0.280,0.445,0.305,0.382,0.331,0.382,0.382,0.318,0.229,0.204,0.484,0.191,0.382,0.305,0.344,0.267,0.344,0.229,0.394,0.471,0.509,0.522,0.305,0.573,0.356,0.153,0.534,0.165,0.216,0.318,0.267,0.420,0.280,0.216,0.293,0.178,0.420,0.331,0.573,0.394,0.369,0.471,0.522,0.471,0.191,0.394,0.433,0.344,0.344,0.153,0.305,0.318,0.445,0.369,0.229,0.496,0.407,0.445,0.165,0.611
ff	17	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.484,0.242,0.242,0.000,0.000,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.242,0.216,0.216,0.216,0.242,0.000,0.000,0.216,0.000,0.000,0.216,0.000,0.000,0.000,0.000,0.242,0.000,0.242,0.242,0.000,0.000,0.484
all	18	0.038,0.115,0.394,0.344,0.356,0.331,0.216,0.356,0.394,0.280,0.127,0.445,0.382,0.369,0.433,0.305,0.254,0.369,0.267,0.484,0.293,0.471,0.585,0.484,0.369,0.369,0.305,0.496,0.445,0.331,0.623,0.407,0.305,0.305,0.280,0.318,0.293,0.280,0.267,0.318,0.293,0.509,0.305,0.127,0.331,0.407,0.713,0.254,0.305,0.305,0.369,0.331,0.305,0.420,0.649,0.318,0.318,0.331,0.407,0.216,0.433,0.394,0.242,0.127
ff	18	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.000,0.242,0.000,0.484,0.000,0.242,0.000,0.242,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.000,0.000,0.216,0.000,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.242,0.242,0.000
all	19	0.038,0.178,0.509,0.267,0.369,0.344,0.356,0.484,0.344,0.191,0.356,0.445,0.305,0.305,0.178,0.280,0.293,0.204,0.305,0.204,0.318,0.471,0.509,0.420,0.318,0.344,0.433,0.636,0.242,0.293,0.204,0.165,0.305,0.331,0.356,0.534,0.522,0.356,0.433,0.267,0.369,0.484,0.534,0.433,0.280,0.713,0.382,0.522,0.471,0.356,0.496,0.191,0.496,0.344,0.509,0.573,0.445,0.560,0.433,0.433,0.356,0.547,0.394,0.254
ff	19	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.216,0.216,0.000,0.000,0.000,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.458,0.216,0.216
all	20	0.051,0.318,0.585,0.394,0.344,0.420,0.420,0.484,0.216,0.534,0.305,0.394,0.369,0.725,0.547,0.344,0.305,0.573,0.471,0.509,0.751,0.471,0.738,0.573,0.433,0.814,1.005,0.700,0.763,0.496,0.369,0.471,0.471,0.522,0.305,0.331,0.496,0.585,0.573,0.496,0.585,0.547,0.674,0.623,0.496,0.560,0.445,0.369,0.445,0.522,0.674,1.082,0.445,0.916,0.662,0.394,0.687,0.585,0.382,0.573,0.471,0.547,0.662,0.204
ff	20	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484,0.000,0.000,0.000,0.216,0.242,0.242,0.458,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.458,0.433,0.216,0.216,0.216,0.000,0.216,0.216,0.000,0.216,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.242,0.216,0.433,0.000
all	21	0.038,0.356,0.356,0.394,0.407,0.318,0.407,0.420,0.369,0.178,0.420,0.153,0.369,0.254,0.445,0.407,0.394,0.267,0.229,0.407,0.369,0.127,0.267,0.573,0.356,0.916,0.496,0.534,0.560,0.662,0.547,0.356,0.484,0.611,0.534,0.242,0.484,0.522,0.420,0.445,0.242,0.636,0.331,0.585,0.305,0.623,0.369,0.496,0.204,0.598,0.700,0.420,0.738,0.496,0.534,0.382,0.280,0.534,0.573,0.547,0.407,0.611,0.305,0.140
ff	21	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.242,0.000,0.000,0.242,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.216,0.216,0.242,0.216,0.000,0.216,0.000,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.242,0.433,0.216,0.000
all	22	0.038,0.318,0.356,0.394,0.242,0.369,0.407,0.433,0.522,0.305,0.394,0.394,0.280,0.382,0.344,0.420,0.267,0.242,0.420,0.471,0.344,0.369,0.687,0.598,0.560,0.547,0.344,0.280,0.204,0.356,0.344,0.509,0.280,0.534,0.560,0.547,0.356,0.191,0.267,0.216,0.382,0.840,0.204,0.165,0.433,0.687,0.751,0.484,0.382,0.445,0.662,0.458,0.496,0.611,0.445,0.344,0.369,0.344,0.420,0.713,0.471,0.369,0.433,0.191
ff	22	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.000,0.216,0.000,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.216,0.216,0.216,0.000,0.000,0.216,0.216,0.216,0.000,0.216,0.000,0.000,0.000,0.242,0.000,0.242,0.242,0.216,0.433,0.000
all	23	0.076,0.382,0.293,0.445,0.293,0.242,0.496,0.165,0.331,0.369,0.216,0.216,0.204,0.293,0.394,0.153,0.547,0.305,0.394,0.445,0.420,0.216,0.178,0.471,0.191,0.814,0.267,0.369,0.293,0.305,0.433,0.458,0.267,0.356,0.471,0.331,0.649,0.382,0.560,0.280,0.522,0.814,0.433,0.445,0.420,0.547,0.293,0.471,0.496,0.394,0.484,0.573,0.547,0.662,0.547,0.216,0.433,0.623,0.611,0.776,0.458,0.407,0.344,0.115
ff	23	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.242,0.000,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.216,0.216,0.000,0.000,0.000,0.216,0.000,0.000,0.000,0.242,0.216,0.000,0.000,0.242,0.000,0.216,0.216,0.216,0.216,0.000
